Lead ID,organization_name,Industry,Contact Name,Email,Country,Service Needed,Status,Proposal Generated ,Proposal Link,Date Generated,Email Sent ,Date Sent,AI Follow-up Link,Follow-up Sent,Follow-up Date,Gmail Thread
L0001,UBA PLC,Banking,Samuel Johnson,samuel.johnson@uba.plc.com,Nigeria,AML Compliance,Qualified,,,,,,,,,
L0002,GTCO PLC,Banking,Mary Johnson,mary.johnson@gtco.plc.com,Nigeria,KYC Review,Qualified,,,,,,,,,
L0003,Zenith Bank PLC,Banking,David Johnson,david.johnson@zenith.plc.com,Nigeria,Regulatory Audit,Qualified,Yes,https://docs.google.com/open?id=1XbStIqJZLJpY-SzPqZY4vNnsN3NQjqfbLUwi3NdzKkc,,,,,,,
L0004,Access Holdings,Banking,Grace Adewale,grace.adewale@access.plc.com,Nigeria,Compliance Gap Assessment,Qualified,Yes,https://docs.google.com/open?id=1lZUDj5p3Rq3ioYW8sQqyNYOfvlSciMhR6nx1ePGUjuQ,,,,,,,
L0005,First HoldCo,Banking,Daniel Adewale,daniel.adewale@firstholdco.plc.com,Nigeria,Risk Assessment,Qualified,Yes,https://docs.google.com/open?id=1KrWNi-DzIKG0ALnQPF3xhHbptynmR9PVjPVl5jcPuxs,6/29/2026,,,,,,
L0006,MTN Nigeria,Telecom,Esther Adewale,esther.adewale@mtn.plc.com,Nigeria,AML Compliance,Qualified,Yes,https://docs.google.com/open?id=19CE0rahjp7MJYlZR9_6t-Ys3X_otG_HbwYjFgJQJ5SM,,,,,,,
L0007,Airtel Nigeria,Telecom,Michael Okafor,michael.okafor@airtel.plc.com,Nigeria,KYC Review,Qualified,,,,,,,,,
L0008,Globacom,Telecom,Chioma Okafor,chioma.okafor@glo.plc.com,Nigeria,Regulatory Audit,Qualified,Yes,https://docs.google.com/open?id=11ezGo_V1orkKEyMLVUVtb7k50lPDQROAiStrGkqP1YU,,,,,,,
L0009,9mobile,Telecom,Ibrahim Okafor,ibrahim.okafor@9mobile.plc.com,Nigeria,Compliance Gap Assessment,Qualified,Yes,https://docs.google.com/open?id=1r3bcfG6ujqcF0W7VxHnG4lKscbrUmIcRg6bqVpF7wqM,6/30/2026,,,,,,
L0010,Flutterwave,Fintech,Aisha Ogunleye,aisha.ogunleye@flutterwave.plc.com,Nigeria,Risk Assessment,Qualified,,,,,,,,,
L0011,Paystack,Fintech,Samuel Ogunleye,samuel.amienghemen@opexconsult.co.uk,Nigeria,AML Compliance,New,,,,,,,,,
L0012,Interswitch,Fintech,Mary Ogunleye,mary.ogunleye@interswitch.plc.com,Nigeria,KYC Review,Qualifed,,,,,,,,,
L0013,Moniepoint,Fintech,David Bello,david.bello@moniepoint.plc.com,Nigeria,Regulatory Audit,Qualified,,,,,,,,,
L0014,Seplat Energy,Energy,Grace Bello,grace.bello@seplat.plc.com,Nigeria,Compliance Gap Assessment,Contacted,,,,,,,,,
L0015,Oando PLC,Energy,Daniel Bello,daniel.bello@oando.plc.com,Nigeria,Risk Assessment,Qualified,Yes,https://docs.google.com/open?id=1wRWmEToY-kxUjiCdTHPkZbGdDj9dcSnGpcZbauityu4,,,,,,,
L0016,Dangote Cement,Manufacturing,Esther Eze,esther.eze@dangote.plc.com,Nigeria,AML Compliance,Qualified,,,,,,,,,
L0017,BUA Cement,Manufacturing,Michael Eze,michael.eze@bua.plc.com,Nigeria,KYC Review,Qualified,,,,,,,,,
L0018,Nestle Nigeria,Manufacturing,Chioma Eze,oluwabusola.egbetunde@opexconsult.co.uk,Nigeria,Regulatory Audit,Qualified,,,,,,,,,
L0019,Nigerian Breweries,Manufacturing,Ibrahim Ahmed,ibrahim.ahmed@nb.plc.com,Nigeria,Compliance Gap Assessment,Qualified,,,,,,,,,
L0020,AXA Mansard,Insurance,Aisha Ahmed,oluwabusola.egbetunde@opexconsult.co.uk,Nigeria,Risk Assessment,Qualified,Yes,https://docs.google.com/open?id=1sPJGKa3fd665T5iBV7kEWqzP-B2MvSf-fv1QyuzrLEk,7/13/2026,Yes,7/13/2026,,,,
L0021,UBA PLC,Banking,Samuel Ahmed,samuel.ahmed@uba.plc.com,Nigeria,AML Compliance,Contacted,,,,,,,,,
L0022,GTCO PLC,Banking,Mary Nwosu,mary.nwosu@gtco.plc.com,Nigeria,KYC Review,Qualified,,,,,,,,,
L0023,Zenith Bank PLC,Banking,David Nwosu,oluwabusola.egbetunde@opexconsult.co.uk,Nigeria,Regulatory Audit,Qualified,,,,,,,,,
L0024,Access Holdings,Banking,Grace Nwosu,grace.nwosu@access.plc.com,Nigeria,Compliance Gap Assessment,Contacted,,,,,,,,,
L0025,First HoldCo,Banking,Daniel Balogun,daniel.balogun@firstholdco.plc.com,Nigeria,Risk Assessment,Qualified,,,,,,,,,
L0026,MTN Nigeria,Telecom,Esther Balogun,oluwabusolaadesoji@gmail.com,Nigeria,AML Compliance,Qualified,,,,,,,,,
L0027,Airtel Nigeria,Telecom,Michael Balogun,oluwabusolaadesoji@gmail.com,Nigeria,KYC Review,Qualified,Yes,https://docs.google.com/open?id=1MxDyPTECiB5YwhaUlt6lzvjY5vLTw1UcNC-LHHbqTDQ,7/1/2026,Yes,7/1/2026,,,,
L0028,Globacom,Telecom,Chioma Ojo,chioma.ojo@glo.plc.com,Nigeria,Regulatory Audit,Qualified,,,,,,,,,
L0029,9mobile,Telecom,Ibrahim Ojo,oluwabusola.egbetunde@opexconsult.co.uk,Nigeria,Compliance Gap Assessment,Qualified,,,,,,,,,
L0030,Flutterwave,Fintech,Aisha Ojo,aisha.ojo@flutterwave.plc.com,Nigeria,Risk Assessment,Contacted,,,,,,,,,
L0031,Paystack,Fintech,Samuel Johnson,samuel.johnson@paystack.plc.com,Nigeria,AML Compliance,Qualified,,,,,,,,,
L0032,Interswitch,Fintech,Mary Johnson,oluwabusola.egbetunde@opexconsult.co.uk,Nigeria,KYC Review,Qualified,Yes,https://docs.google.com/open?id=12VnfIGyXsfIp_f8s-fSH61Bh354ALUAia5pAlVZcVak,7/1/2026,Yes,7/1/2026,,,,
L0033,Moniepoint,Fintech,David Johnson,david.johnson@moniepoint.plc.com,Nigeria,Regulatory Audit,Contacted,,,,,,,,,
L0034,Seplat Energy,Energy,Grace Adewale,grace.adewale@seplat.plc.com,Nigeria,Compliance Gap Assessment,Qualified,,,,,,,,,
L0035,Oando PLC,Energy,Daniel Adewale,daniel.adewale@oando.plc.com,Nigeria,Risk Assessment,Qualified,Yes,https://docs.google.com/open?id=1jowXvTxIR6yPpDjqRucWGzZcPgIB2BJNq_VwAITBte4,7/17/2026,Yes,7/15/2026,https://docs.google.com/open?id=1uAFzvlJ1S4foU6SrRmpvghlrk4qj-QQRosFctVipwaU,Yes,7/18/2026,
L0036,Dangote Cement,Manufacturing,Esther Adewale,esther.adewale@dangote.plc.com,Nigeria,AML Compliance,Contacted,,,,,,,,,
L0037,BUA Cement,Manufacturing,Michael Okafor,michael.okafor@bua.plc.com,Nigeria,KYC Review,Qualified,,,,,,,,,
